onset	duration	trial_phase	trial	condition	EMG_cor	perceived_liking	perceived_intensity
2.014960	2.421213	trialstart	1	neutral	0.000138	50.000000	63.559322
8.019956	5.219523	liking	1	neutral	0.000138	50.000000	63.559322
7.507390	0.500000	EMG	1	neutral	0.000138	50.000000	63.559322
13.737322	2.374119	intensity	1	neutral	0.000138	50.000000	63.559322
16.111441	3.793029	ITI	1	neutral	0.000138	50.000000	63.559322
20.249342	2.428911	trialstart	2	neutral	0.000128	50.000000	63.559322
26.705893	5.194829	liking	2	neutral	0.000128	50.000000	63.559322
25.757022	0.500000	EMG	2	neutral	0.000128	50.000000	63.559322
32.400661	4.542635	intensity	2	neutral	0.000128	50.000000	63.559322
36.943296	1.204855	ITI	2	neutral	0.000128	50.000000	63.559322
38.253884	2.428788	trialstart	3	neutral	0.000118	42.372881	66.101695
44.513649	6.548496	liking	3	neutral	0.000118	42.372881	66.101695
43.764892	0.500000	EMG	3	neutral	0.000118	42.372881	66.101695
51.562010	3.438182	intensity	3	neutral	0.000118	42.372881	66.101695
55.000191	1.152366	ITI	3	neutral	0.000118	42.372881	66.101695
56.258583	2.428805	trialstart	4	chocolate	0.000103	62.711864	82.203390
62.522768	2.477525	liking	4	chocolate	0.000103	62.711864	82.203390
61.774006	0.500000	EMG	4	chocolate	0.000103	62.711864	82.203390
65.500216	3.422365	intensity	4	chocolate	0.000103	62.711864	82.203390
68.922582	5.234727	ITI	4	chocolate	0.000103	62.711864	82.203390
74.263974	2.428401	trialstart	5	chocolate	0.000127	65.254237	80.508475
80.510857	4.216908	liking	5	chocolate	0.000127	65.254237	80.508475
79.762510	0.500000	EMG	5	chocolate	0.000127	65.254237	80.508475
85.227708	1.975178	intensity	5	chocolate	0.000127	65.254237	80.508475
87.202886	4.959383	ITI	5	chocolate	0.000127	65.254237	80.508475
92.268725	2.428693	trialstart	6	chocolate	0.000127	61.864407	77.118644
98.719535	2.375329	liking	6	chocolate	0.000127	61.864407	77.118644
97.770876	0.500000	EMG	6	chocolate	0.000127	61.864407	77.118644
101.594806	2.216961	intensity	6	chocolate	0.000127	61.864407	77.118644
103.811767	6.355542	ITI	6	chocolate	0.000127	61.864407	77.118644
110.273321	2.427902	trialstart	7	empty	0.000153	50.000000	17.796610
116.725860	2.730080	liking	7	empty	0.000153	50.000000	17.796610
115.778002	0.500000	EMG	7	empty	0.000153	50.000000	17.796610
119.955884	2.830399	intensity	7	empty	0.000153	50.000000	17.796610
122.786283	5.384831	ITI	7	empty	0.000153	50.000000	17.796610
128.278002	2.428797	trialstart	8	empty	0.000113	50.000000	14.406780
134.735662	1.776371	liking	8	empty	0.000113	50.000000	14.406780
133.786923	0.500000	EMG	8	empty	0.000113	50.000000	14.406780
137.011972	1.885523	intensity	8	empty	0.000113	50.000000	14.406780
138.897495	7.279192	ITI	8	empty	0.000113	50.000000	14.406780
146.283315	2.428750	trialstart	9	empty	0.000183	50.000000	12.711864
152.742579	0.985118	liking	9	empty	0.000183	50.000000	12.711864
151.793871	0.500000	EMG	9	empty	0.000183	50.000000	12.711864
154.227643	1.685855	intensity	9	empty	0.000183	50.000000	12.711864
155.913497	8.268460	ITI	9	empty	0.000183	50.000000	12.711864
164.288082	2.428793	trialstart	10	chocolate	0.000124	73.728814	78.813559
170.750620	2.364582	liking	10	chocolate	0.000124	73.728814	78.813559
169.801894	0.500000	EMG	10	chocolate	0.000124	73.728814	78.813559
173.615145	2.978181	intensity	10	chocolate	0.000124	73.728814	78.813559
176.593325	5.593440	ITI	10	chocolate	0.000124	73.728814	78.813559
182.292737	2.428293	trialstart	11	chocolate	0.000125	70.338983	77.966102
188.756689	1.692882	liking	11	chocolate	0.000125	70.338983	77.966102
187.808900	0.500000	EMG	11	chocolate	0.000125	70.338983	77.966102
190.949510	1.741546	intensity	11	chocolate	0.000125	70.338983	77.966102
192.691056	7.499891	ITI	11	chocolate	0.000125	70.338983	77.966102
200.297622	2.428865	trialstart	12	chocolate	0.000134	70.338983	77.118644
206.745687	2.246276	liking	12	chocolate	0.000134	70.338983	77.118644
205.796861	0.500000	EMG	12	chocolate	0.000134	70.338983	77.118644
209.491906	2.192837	intensity	12	chocolate	0.000134	70.338983	77.118644
211.684743	6.511633	ITI	12	chocolate	0.000134	70.338983	77.118644
218.303161	2.428816	trialstart	13	empty	0.000107	50.000000	19.491525
224.553640	0.867045	liking	13	empty	0.000107	50.000000	19.491525
223.804867	0.500000	EMG	13	empty	0.000107	50.000000	19.491525
225.920630	1.746382	intensity	13	empty	0.000107	50.000000	19.491525
227.667012	8.534853	ITI	13	empty	0.000107	50.000000	19.491525
236.308059	2.428807	trialstart	14	empty	0.000147	50.000000	13.559322
242.560617	0.681036	liking	14	empty	0.000147	50.000000	13.559322
241.811877	0.500000	EMG	14	empty	0.000147	50.000000	13.559322
243.741599	1.532428	intensity	14	empty	0.000147	50.000000	13.559322
245.274027	8.932731	ITI	14	empty	0.000147	50.000000	13.559322
254.312720	2.427746	trialstart	15	empty	0.000157	50.000000	12.711864
260.566491	0.898349	liking	15	empty	0.000157	50.000000	12.711864
259.818793	0.500000	EMG	15	empty	0.000157	50.000000	12.711864
261.964784	1.407558	intensity	15	empty	0.000157	50.000000	12.711864
263.372342	8.838009	ITI	15	empty	0.000157	50.000000	12.711864
272.317641	2.428785	trialstart	16	neutral	0.000144	50.000000	15.254237
278.775568	2.088232	liking	16	neutral	0.000144	50.000000	15.254237
277.826855	0.500000	EMG	16	neutral	0.000144	50.000000	15.254237
281.363746	3.176384	intensity	16	neutral	0.000144	50.000000	15.254237
284.540130	5.676187	ITI	16	neutral	0.000144	50.000000	15.254237
290.323258	2.428751	trialstart	17	neutral	0.000127	50.000000	19.491525
296.582655	1.644662	liking	17	neutral	0.000127	50.000000	19.491525
295.833987	0.500000	EMG	17	neutral	0.000127	50.000000	19.491525
298.727256	1.979556	intensity	17	neutral	0.000127	50.000000	19.491525
300.706812	7.515087	ITI	17	neutral	0.000127	50.000000	19.491525
308.328285	2.428772	trialstart	18	neutral	0.000131	50.000000	18.644068
314.592508	1.137678	liking	18	neutral	0.000131	50.000000	18.644068
313.843828	0.500000	EMG	18	neutral	0.000131	50.000000	18.644068
316.230131	3.027920	intensity	18	neutral	0.000131	50.000000	18.644068
319.258051	6.968915	ITI	18	neutral	0.000131	50.000000	18.644068
326.333254	2.429594	trialstart	19	empty	0.000200	50.000000	14.406780
332.581132	1.716411	liking	19	empty	0.000200	50.000000	14.406780
331.831616	0.500000	EMG	19	empty	0.000200	50.000000	14.406780
334.797489	1.516303	intensity	19	empty	0.000200	50.000000	14.406780
336.313792	7.918950	ITI	19	empty	0.000200	50.000000	14.406780
344.338038	2.428716	trialstart	20	empty	0.000115	50.000000	12.711864
350.587412	2.219749	liking	20	empty	0.000115	50.000000	12.711864
349.838815	0.500000	EMG	20	empty	0.000115	50.000000	12.711864
353.307107	1.542950	intensity	20	empty	0.000115	50.000000	12.711864
354.850057	7.386595	ITI	20	empty	0.000115	50.000000	12.711864
362.343580	2.428815	trialstart	21	empty	0.000178	50.000000	12.711864
368.595605	1.286933	liking	21	empty	0.000178	50.000000	12.711864
367.846820	0.500000	EMG	21	empty	0.000178	50.000000	12.711864
370.382474	1.445683	intensity	21	empty	0.000178	50.000000	12.711864
371.828157	8.414128	ITI	21	empty	0.000178	50.000000	12.711864
380.348636	2.428781	trialstart	22	neutral	0.000125	50.000000	12.711864
386.803535	1.644709	liking	22	neutral	0.000125	50.000000	12.711864
385.854812	0.500000	EMG	22	neutral	0.000125	50.000000	12.711864
388.948187	3.887306	intensity	22	neutral	0.000125	50.000000	12.711864
392.835494	5.411809	ITI	22	neutral	0.000125	50.000000	12.711864
398.353650	2.428790	trialstart	23	neutral	0.000167	50.000000	27.966102
404.610557	1.368884	liking	23	neutral	0.000167	50.000000	27.966102
403.861815	0.500000	EMG	23	neutral	0.000167	50.000000	27.966102
406.479390	1.375673	intensity	23	neutral	0.000167	50.000000	27.966102
407.855063	8.397269	ITI	23	neutral	0.000167	50.000000	27.966102
416.364604	2.428797	trialstart	24	neutral	0.000114	50.000000	23.728814
422.617545	1.808434	liking	24	neutral	0.000114	50.000000	23.728814
421.868792	0.500000	EMG	24	neutral	0.000114	50.000000	23.728814
424.925927	1.624399	intensity	24	neutral	0.000114	50.000000	23.728814
426.550326	7.712967	ITI	24	neutral	0.000114	50.000000	23.728814
434.370296	2.428790	trialstart	25	chocolate	0.000150	63.559322	80.508475
440.824655	2.464421	liking	25	chocolate	0.000150	63.559322	80.508475
439.875881	0.500000	EMG	25	chocolate	0.000150	63.559322	80.508475
443.789009	2.064251	intensity	25	chocolate	0.000150	63.559322	80.508475
445.853260	6.415722	ITI	25	chocolate	0.000150	63.559322	80.508475
452.375295	2.428756	trialstart	26	chocolate	0.000142	73.728814	80.508475
458.831555	1.710008	liking	26	chocolate	0.000142	73.728814	80.508475
457.882858	0.500000	EMG	26	chocolate	0.000142	73.728814	80.508475
461.041510	1.919371	intensity	26	chocolate	0.000142	73.728814	80.508475
462.960881	7.313065	ITI	26	chocolate	0.000142	73.728814	80.508475
470.380475	2.428814	trialstart	27	chocolate	0.000126	69.491525	84.745763
476.638655	1.613911	liking	27	chocolate	0.000126	69.491525	84.745763
475.889893	0.500000	EMG	27	chocolate	0.000126	69.491525	84.745763
478.752512	2.345122	intensity	27	chocolate	0.000126	69.491525	84.745763
481.097634	7.181549	ITI	27	chocolate	0.000126	69.491525	84.745763
488.386957	2.428674	trialstart	28	chocolate	0.000120	64.406780	63.559322
494.647369	2.469732	liking	28	chocolate	0.000120	64.406780	63.559322
493.898758	0.500000	EMG	28	chocolate	0.000120	64.406780	63.559322
497.617048	1.596447	intensity	28	chocolate	0.000120	64.406780	63.559322
499.213495	7.072034	ITI	28	chocolate	0.000120	64.406780	63.559322
506.405019	2.428785	trialstart	29	chocolate	0.000137	61.016949	63.559322
512.855495	1.554311	liking	29	chocolate	0.000137	61.016949	63.559322
511.906758	0.500000	EMG	29	chocolate	0.000137	61.016949	63.559322
514.909752	1.106791	intensity	29	chocolate	0.000137	61.016949	63.559322
516.016543	8.287146	ITI	29	chocolate	0.000137	61.016949	63.559322
524.410132	2.428670	trialstart	30	chocolate	0.000133	64.406780	83.898305
530.663341	3.292373	liking	30	chocolate	0.000133	64.406780	83.898305
529.914743	0.500000	EMG	30	chocolate	0.000133	64.406780	83.898305
534.455657	2.165415	intensity	30	chocolate	0.000133	64.406780	83.898305
536.621072	5.687622	ITI	30	chocolate	0.000133	64.406780	83.898305
542.415277	2.428821	trialstart	31	neutral	0.000129	69.491525	61.864407
548.671503	2.421565	liking	31	neutral	0.000129	69.491525	61.864407
547.922764	0.500000	EMG	31	neutral	0.000129	69.491525	61.864407
551.593010	1.148760	intensity	31	neutral	0.000129	69.491525	61.864407
552.741770	7.572207	ITI	31	neutral	0.000129	69.491525	61.864407
560.420402	2.428799	trialstart	32	neutral	0.000186	55.932203	19.491525
566.878583	1.911572	liking	32	neutral	0.000186	55.932203	19.491525
565.929817	0.500000	EMG	32	neutral	0.000186	55.932203	19.491525
569.290098	2.025799	intensity	32	neutral	0.000186	55.932203	19.491525
571.315897	7.003199	ITI	32	neutral	0.000186	55.932203	19.491525
578.426041	2.427790	trialstart	33	neutral	0.000140	50.000000	14.406780
584.885432	1.151579	liking	33	neutral	0.000140	50.000000	14.406780
583.937691	0.500000	EMG	33	neutral	0.000140	50.000000	14.406780
586.536958	3.066624	intensity	33	neutral	0.000140	50.000000	14.406780
589.603582	6.720138	ITI	33	neutral	0.000140	50.000000	14.406780
596.431223	2.428824	trialstart	34	empty	0.000214	50.000000	12.711864
602.896522	0.532143	liking	34	empty	0.000214	50.000000	12.711864
601.946703	0.500000	EMG	34	empty	0.000214	50.000000	12.711864
603.928604	2.616881	intensity	34	empty	0.000214	50.000000	12.711864
606.545485	7.784460	ITI	34	empty	0.000214	50.000000	12.711864
614.436365	2.428817	trialstart	35	empty	0.000171	50.000000	12.711864
620.883463	0.842482	liking	35	empty	0.000171	50.000000	12.711864
619.934688	0.500000	EMG	35	empty	0.000171	50.000000	12.711864
622.225889	1.635908	intensity	35	empty	0.000171	50.000000	12.711864
623.861797	8.473278	ITI	35	empty	0.000171	50.000000	12.711864
632.441546	2.428241	trialstart	36	empty	0.000133	50.000000	12.711864
638.694745	0.836901	liking	36	empty	0.000133	50.000000	12.711864
637.944687	0.500000	EMG	36	empty	0.000133	50.000000	12.711864
640.031592	1.523713	intensity	36	empty	0.000133	50.000000	12.711864
641.555305	8.784377	ITI	36	empty	0.000133	50.000000	12.711864
650.447426	2.428779	trialstart	37	neutral	0.000201	50.000000	12.711864
656.903082	1.885632	liking	37	neutral	0.000201	50.000000	12.711864
655.953648	0.500000	EMG	37	neutral	0.000201	50.000000	12.711864
659.288658	2.726175	intensity	37	neutral	0.000201	50.000000	12.711864
662.014833	6.331255	ITI	37	neutral	0.000201	50.000000	12.711864
668.452683	2.427802	trialstart	38	neutral	0.000208	50.000000	12.711864
674.915509	1.430643	liking	38	neutral	0.000208	50.000000	12.711864
673.967801	0.500000	EMG	38	neutral	0.000208	50.000000	12.711864
676.846094	1.571982	intensity	38	neutral	0.000208	50.000000	12.711864
